user_id,join_date,gopay_tier,internal_credit_score,paylater_limit
GP-000071,2022-07-11,Plus,671.0,5000000
GP-000072,2021-11-01,Basic,425.0,0
GP-000073,2021-11-28,Plus,830.0,500000
GP-000074,2021-01-09,Plus,516.0,1500000
GP-000075,2023-08-15,Plus,529.0,1500000
GP-000076,2022-09-07,Basic,,0
GP-000077,2021-04-22,Plus,431.0,3000000
GP-000078,2021-03-22,Plus,,1500000
GP-000079,2021-09-17,Basic,462.0,0
GP-000080,2023-05-01,Plus,475.0,500000
GP-000081,2021-11-05,Plus,770.0,1500000
GP-000082,2022-06-28,Basic,478.0,0
GP-000083,2023-03-24,Basic,420.0,0
GP-000084,2023-09-22,Basic,307.0,0
GP-000085,2021-06-08,Plus,689.0,1500000
GP-000086,2022-05-24,Plus,650.0,500000
GP-000087,2023-03-11,Plus,544.0,500000
GP-000088,2023-07-17,Plus,554.0,500000
GP-000089,2022-11-05,Plus,806.0,5000000
GP-000090,2022-01-13,Basic,487.0,0
GP-000091,2021-07-08,Plus,800.0,500000
GP-000092,2021-04-03,Plus,594.0,5000000
GP-000093,2022-08-07,Basic,464.0,0
GP-000094,2022-11-30,Plus,713.0,500000
GP-000095,2023-08-24,Plus,456.0,500000
GP-000096,2021-06-12,Basic,,0
GP-000097,2021-07-20,Basic,411.0,0
GP-000098,2021-12-31,Plus,814.0,500000
GP-000099,2022-11-07,Plus,763.0,1500000
GP-000100,2021-02-17,Plus,713.0,500000
GP-000101,2022-03-24,Plus,689.0,500000
GP-000102,2021-05-21,Plus,778.0,500000
GP-000103,2022-07-13,Plus,,3000000
GP-000104,2023-01-10,Basic,309.0,0
GP-000105,2022-03-28,Plus,740.0,500000
GP-000106,2021-04-15,Plus,430.0,1500000
GP-000107,2021-10-26,Basic,349.0,0
GP-000108,2022-01-21,Plus,749.0,1500000
GP-000109,2021-10-07,Plus,586.0,500000
GP-000110,2023-03-10,Basic,379.0,0
GP-000111,2022-08-24,Basic,,0
GP-000112,2023-06-04,Plus,514.0,500000
GP-000113,2021-06-27,Plus,637.0,500000
GP-000114,2023-07-07,Basic,,0
GP-000115,2023-05-31,Basic,,0
GP-000116,2022-04-24,Plus,762.0,1500000
GP-000117,2023-04-19,Plus,,1500000
GP-000118,2022-10-25,Plus,442.0,500000
GP-000119,2022-10-02,Basic,432.0,0
GP-000120,2022-01-27,Plus,,500000
GP-000121,2022-03-23,Plus,539.0,1500000
GP-000122,2022-03-02,Plus,508.0,1500000
GP-000123,2022-10-07,Plus,468.0,5000000
GP-000124,2023-01-16,Basic,483.0,0
GP-000125,2022-05-22,Basic,396.0,0
GP-000126,2023-08-28,Plus,666.0,500000
GP-000127,2022-05-18,Basic,425.0,0
GP-000128,2021-01-17,Plus,,5000000
GP-000129,2022-10-15,Plus,745.0,3000000
GP-000130,2021-09-28,Basic,346.0,0
GP-000131,2022-03-30,Basic,464.0,0
GP-000132,2021-03-13,Plus,,500000
GP-000133,2021-07-03,Plus,849.0,3000000
GP-000134,2023-06-22,Basic,441.0,0
GP-000135,2023-06-25,Basic,460.0,0
GP-000136,2021-10-05,Plus,803.0,1500000
GP-000137,2023-06-12,Plus,677.0,500000
GP-000138,2021-09-25,Basic,351.0,0
GP-000139,2022-07-12,Basic,474.0,0
GP-000140,2021-03-17,Basic,413.0,0
GP-000141,2022-01-19,Basic,300.0,0
GP-000142,2021-04-16,Plus,754.0,500000
GP-000143,2021-05-29,Plus,463.0,5000000
GP-000144,2021-02-16,Plus,,5000000
GP-000145,2022-11-07,Basic,443.0,0
GP-000146,2021-08-28,Plus,499.0,500000
GP-000147,2021-07-01,Basic,331.0,0
GP-000148,2022-08-02,Plus,555.0,500000
GP-000149,2021-11-28,Plus,,500000
GP-000150,2023-03-29,Plus,708.0,1500000
GP-000151,2022-06-18,Plus,495.0,3000000
GP-000152,2021-04-22,Plus,,1500000
GP-000153,2021-03-26,Basic,364.0,0
GP-000154,2021-03-13,Plus,402.0,5000000
GP-000155,2023-01-22,Plus,545.0,500000
GP-000156,2022-02-16,Basic,463.0,0
GP-000157,2021-01-23,Basic,390.0,0
GP-000158,2021-12-27,Basic,354.0,0
GP-000159,2021-10-18,Basic,411.0,0
GP-000160,2021-09-02,Plus,649.0,500000
GP-000161,2023-07-29,Plus,567.0,500000
GP-000162,2023-09-12,Basic,305.0,0
GP-000163,2021-09-11,Basic,461.0,0
GP-000164,2021-09-21,Basic,352.0,0
GP-000165,2022-04-10,Plus,493.0,1500000
GP-000166,2023-06-04,Plus,,1500000
GP-000167,2022-01-27,Plus,520.0,3000000
GP-000168,2023-02-08,Plus,731.0,1500000
GP-000169,2022-03-02,Plus,527.0,3000000
GP-000170,2022-10-07,Plus,439.0,1500000
GP-000171,2021-02-14,Basic,,0
GP-000172,2021-11-18,Plus,455.0,500000
GP-000173,2021-05-30,Plus,619.0,1500000
GP-000174,2023-06-08,Basic,,0
GP-000175,2021-09-12,Plus,418.0,500000
GP-000176,2022-07-31,Basic,370.0,0
GP-000177,2023-09-07,Plus,771.0,1500000
GP-000178,2023-03-25,Plus,493.0,1500000
GP-000179,2023-04-27,Basic,,0
GP-000180,2022-07-26,Plus,830.0,500000
GP-000181,2022-03-09,Plus,806.0,1500000
GP-000182,2023-05-23,Basic,451.0,0
GP-000183,2022-04-20,Plus,534.0,1500000
GP-000184,2023-01-27,Plus,482.0,1500000
GP-000185,2021-01-24,Basic,446.0,0
GP-000186,2023-05-01,Plus,542.0,1500000
GP-000187,2023-03-26,Basic,431.0,0
GP-000188,2023-06-18,Basic,472.0,0
GP-000189,2021-10-13,Basic,447.0,0
GP-000190,2022-10-19,Plus,770.0,500000
GP-000191,2021-07-13,Plus,465.0,1500000
GP-000192,2023-05-31,Basic,383.0,0
GP-000193,2021-05-31,Plus,477.0,1500000
GP-000194,2022-08-30,Plus,551.0,3000000
GP-000195,2022-06-08,Plus,737.0,500000
GP-000196,2021-03-20,Plus,766.0,500000
GP-000197,2022-04-18,Basic,440.0,0
GP-000198,2023-08-06,Basic,,0
GP-000199,2021-06-18,Plus,,500000
GP-000200,2022-03-10,Basic,397.0,0
GP-000201,2022-07-16,Plus,605.0,3000000
GP-000202,2021-10-06,Plus,676.0,500000
GP-000203,2022-12-07,Basic,372.0,0
GP-000204,2022-09-27,Plus,461.0,500000
GP-000205,2021-01-07,Plus,782.0,1500000
GP-000206,2021-02-07,Plus,408.0,1500000
GP-000207,2021-07-26,Basic,494.0,0
GP-000208,2022-07-06,Plus,,500000
GP-000209,2022-07-06,Basic,331.0,0
GP-000210,2021-04-07,Plus,,500000
GP-000211,2021-12-19,Plus,,3000000
GP-000212,2021-09-17,Plus,573.0,500000
GP-000213,2022-11-05,Plus,,5000000
GP-000214,2023-03-19,Plus,728.0,1500000
GP-000215,2023-05-09,Basic,436.0,0
GP-000216,2023-03-28,Basic,306.0,0
GP-000217,2023-05-12,Plus,,5000000
GP-000218,2021-04-03,Basic,,0
GP-000219,2023-07-14,Plus,576.0,500000
GP-000220,2022-07-28,Plus,792.0,1500000
GP-000221,2023-03-21,Basic,330.0,0
GP-000222,2022-06-05,Plus,513.0,1500000
GP-000223,2022-02-28,Basic,468.0,0
GP-000224,2021-09-15,Basic,322.0,0
GP-000225,2022-08-20,Plus,445.0,500000
GP-000226,2022-09-05,Basic,410.0,0
GP-000227,2022-08-14,Plus,726.0,1500000
GP-000228,2021-10-04,Basic,467.0,0
GP-000229,2022-04-30,Plus,847.0,1500000
GP-000230,2022-04-08,Plus,541.0,5000000
GP-000231,2022-01-29,Plus,569.0,500000
GP-000232,2021-01-09,Plus,,3000000
GP-000233,2022-02-03,Basic,330.0,0
GP-000234,2022-11-17,Basic,490.0,0
GP-000235,2023-03-31,Basic,,0
GP-000236,2022-03-14,Plus,529.0,1500000
GP-000237,2022-01-29,Plus,468.0,500000
GP-000238,2023-04-19,Plus,603.0,3000000
GP-000239,2023-09-09,Plus,560.0,1500000
GP-000240,2023-05-28,Plus,,500000
GP-000241,2021-02-05,Basic,342.0,0
GP-000242,2021-10-07,Basic,435.0,0
GP-000243,2021-06-03,Plus,570.0,1500000
GP-000244,2022-05-02,Plus,589.0,3000000
GP-000245,2022-06-21,Plus,,1500000
GP-000246,2022-12-28,Basic,341.0,0
GP-000247,2022-02-11,Basic,358.0,0
GP-000248,2021-07-06,Basic,469.0,0
GP-000249,2021-12-27,Plus,750.0,500000
GP-000250,2023-04-29,Plus,565.0,500000
GP-000251,2023-08-26,Plus,412.0,500000
GP-000252,2022-06-23,Plus,672.0,500000
GP-000253,2022-09-29,Plus,707.0,1500000
GP-000254,2022-09-14,Basic,369.0,0
GP-000255,2021-09-29,Basic,401.0,0
GP-000256,2022-07-08,Plus,771.0,3000000
GP-000257,2022-05-27,Basic,328.0,0
GP-000258,2022-08-26,Plus,785.0,3000000
GP-000259,2022-03-01,Basic,339.0,0
GP-000260,2021-03-21,Basic,463.0,0
GP-000261,2021-05-08,Plus,649.0,500000
GP-000262,2023-07-09,Basic,315.0,0
GP-000263,2021-11-20,Plus,834.0,500000
GP-000264,2021-08-05,Plus,551.0,500000
GP-000265,2023-02-08,Basic,320.0,0
GP-000266,2021-10-18,Plus,,5000000
GP-000267,2022-12-02,Plus,761.0,500000
GP-000268,2021-03-18,Basic,393.0,0
GP-000269,2021-05-08,Plus,528.0,5000000
GP-000270,2023-08-04,Basic,370.0,0
GP-000271,2023-09-22,Plus,401.0,500000
GP-000272,2022-07-07,Basic,418.0,0
GP-000273,2021-05-17,Plus,,1500000
GP-000274,2021-09-18,Basic,421.0,0
GP-000275,2021-11-28,Plus,759.0,1500000
GP-000276,2022-11-23,Basic,475.0,0
GP-000277,2023-02-14,Basic,,0
GP-000278,2022-05-10,Plus,846.0,3000000
GP-000279,2021-04-24,Plus,717.0,500000
GP-000280,2021-11-24,Basic,305.0,0
GP-000281,2023-08-23,Basic,416.0,0
GP-000282,2021-09-19,Plus,,5000000
GP-000283,2022-04-18,Plus,,500000
GP-000284,2022-06-29,Plus,708.0,5000000
GP-000285,2023-05-31,Basic,437.0,0
GP-000286,2022-05-27,Plus,574.0,3000000
GP-000287,2023-03-10,Basic,440.0,0
GP-000288,2022-08-05,Basic,328.0,0
GP-000289,2021-05-16,Plus,543.0,500000
GP-000290,2021-05-24,Basic,495.0,0
GP-000291,2021-04-01,Basic,,0
GP-000292,2022-03-31,Plus,534.0,5000000
GP-000293,2021-08-03,Plus,632.0,3000000
GP-000294,2023-02-24,Plus,651.0,500000
GP-000295,2023-04-16,Basic,372.0,0
GP-000296,2023-06-28,Plus,476.0,5000000
GP-000297,2023-04-29,Plus,656.0,500000
GP-000298,2023-05-08,Plus,471.0,3000000
GP-000299,2022-06-16,Basic,,0
GP-000300,2021-12-05,Basic,314.0,0
GP-000301,2022-10-23,Plus,,500000
GP-000302,2021-02-06,Plus,,3000000
GP-000303,2021-07-11,Basic,426.0,0
GP-000304,2022-03-02,Plus,776.0,3000000
GP-000305,2023-08-29,Plus,,500000
GP-000306,2023-04-13,Basic,,0
GP-000307,2022-10-28,Plus,596.0,1500000
GP-000308,2023-06-22,Basic,362.0,0
GP-000309,2022-10-12,Plus,730.0,500000
GP-000310,2021-08-02,Basic,312.0,0
GP-000311,2023-01-19,Plus,830.0,1500000
GP-000312,2021-05-22,Plus,560.0,3000000
GP-000313,2021-02-18,Plus,,1500000
GP-000314,2023-01-28,Basic,364.0,0
GP-000315,2021-11-24,Plus,614.0,5000000
GP-000316,2021-12-15,Plus,456.0,3000000
GP-000317,2022-05-07,Plus,472.0,1500000
GP-000318,2023-06-10,Basic,342.0,0
GP-000319,2021-01-29,Plus,438.0,1500000
GP-000320,2023-07-24,Basic,416.0,0
GP-000321,2023-05-27,Plus,587.0,3000000
GP-000322,2021-09-01,Plus,531.0,500000
GP-000323,2021-03-17,Plus,488.0,500000
GP-000324,2023-06-26,Basic,398.0,0
GP-000325,2023-02-03,Plus,721.0,1500000
GP-000326,2023-04-11,Basic,424.0,0
GP-000327,2023-09-01,Plus,832.0,1500000
GP-000328,2021-02-23,Basic,426.0,0
GP-000329,2022-04-19,Plus,510.0,1500000
GP-000330,2022-07-01,Basic,474.0,0
GP-000331,2021-11-05,Basic,306.0,0
GP-000332,2021-09-25,Plus,,5000000
GP-000333,2021-11-04,Plus,794.0,500000
GP-000334,2021-01-10,Basic,317.0,0
GP-000335,2022-04-05,Basic,491.0,0
GP-000336,2022-05-02,Basic,381.0,0
GP-000337,2022-08-08,Basic,488.0,0
GP-000338,2022-03-01,Basic,467.0,0
GP-000339,2023-04-23,Plus,788.0,1500000
GP-000340,2021-09-29,Plus,,3000000
GP-000341,2023-02-17,Plus,408.0,1500000
GP-000342,2022-03-24,Plus,602.0,500000
GP-000343,2021-05-08,Plus,841.0,1500000
GP-000344,2021-06-06,Plus,513.0,3000000
GP-000345,2022-09-16,Plus,,1500000
GP-000346,2021-03-21,Plus,688.0,1500000
GP-000347,2021-09-06,Plus,825.0,500000
GP-000348,2022-04-18,Plus,,500000
GP-000349,2023-03-10,Plus,646.0,1500000
GP-000350,2023-07-13,Plus,808.0,1500000
GP-000351,2023-02-06,Basic,429.0,0
GP-000352,2023-06-04,Plus,622.0,500000
GP-000353,2022-02-07,Plus,707.0,3000000
GP-000354,2023-07-03,Plus,474.0,3000000
GP-000355,2022-06-08,Plus,512.0,5000000
GP-000356,2021-01-26,Plus,719.0,1500000
GP-000357,2021-03-13,Plus,513.0,500000
GP-000358,2023-07-06,Basic,402.0,0
GP-000359,2021-10-27,Plus,586.0,500000
GP-000360,2022-10-23,Plus,559.0,500000
GP-000361,2022-03-27,Basic,346.0,0
GP-000362,2021-06-02,Basic,,0
GP-000363,2021-08-03,Plus,518.0,500000
GP-000364,2021-11-21,Plus,767.0,1500000
GP-000365,2022-12-07,Plus,580.0,500000
GP-000366,2023-06-13,Plus,832.0,500000
GP-000367,2021-05-04,Basic,,0
GP-000368,2021-08-25,Basic,490.0,0
GP-000369,2022-04-09,Plus,824.0,1500000
GP-000370,2021-02-16,Plus,,500000
GP-000371,2023-03-16,Basic,371.0,0
GP-000372,2022-05-21,Plus,474.0,3000000
GP-000373,2022-01-05,Plus,479.0,500000
GP-000374,2023-02-12,Plus,776.0,500000
GP-000375,2021-08-14,Plus,521.0,500000
GP-000376,2021-05-19,Plus,557.0,5000000
GP-000377,2021-09-16,Basic,420.0,0
GP-000378,2022-02-28,Plus,,500000
GP-000379,2021-08-25,Plus,585.0,1500000
GP-000380,2023-08-16,Basic,354.0,0
GP-000381,2023-05-20,Plus,586.0,1500000
GP-000382,2022-01-14,Plus,757.0,3000000
GP-000383,2021-11-20,Basic,454.0,0
GP-000384,2021-07-02,Basic,397.0,0
GP-000385,2021-09-30,Basic,383.0,0
GP-000386,2023-06-02,Plus,,500000
GP-000387,2022-12-27,Plus,697.0,1500000
GP-000388,2021-10-14,Basic,,0
GP-000389,2021-02-20,Plus,622.0,500000
GP-000390,2022-12-27,Plus,,3000000
GP-000391,2022-02-22,Plus,655.0,1500000
GP-000392,2023-05-22,Plus,480.0,1500000
GP-000393,2022-06-23,Basic,473.0,0
GP-000394,2022-08-19,Plus,524.0,500000
GP-000395,2023-05-14,Plus,756.0,500000
GP-000396,2022-05-25,Plus,808.0,1500000
GP-000397,2021-12-15,Plus,625.0,500000
GP-000398,2021-11-17,Basic,,0
GP-000399,2023-02-25,Plus,454.0,1500000
GP-000400,2021-03-18,Plus,,3000000
GP-000401,2021-08-22,Basic,351.0,0
GP-000402,2021-01-12,Basic,363.0,0
GP-000403,2023-04-29,Basic,436.0,0
GP-000404,2023-09-04,Plus,600.0,500000
GP-000405,2021-08-24,Plus,,5000000
GP-000406,2022-07-31,Basic,463.0,0
GP-000407,2023-05-24,Plus,582.0,1500000
GP-000408,2023-08-26,Basic,371.0,0
GP-000409,2021-12-13,Plus,683.0,500000
GP-000410,2022-04-18,Basic,352.0,0
GP-000411,2021-02-18,Basic,374.0,0
GP-000412,2023-01-01,Basic,418.0,0
GP-000413,2021-02-23,Basic,426.0,0
GP-000414,2022-07-03,Basic,467.0,0
GP-000415,2022-08-10,Basic,346.0,0
GP-000416,2022-05-04,Plus,,3000000
GP-000417,2021-05-27,Plus,519.0,500000
GP-000418,2021-07-31,Plus,484.0,1500000
GP-000419,2022-04-13,Basic,413.0,0
GP-000420,2021-11-30,Plus,480.0,500000
GP-000421,2021-10-07,Basic,350.0,0
GP-000422,2022-04-27,Basic,351.0,0
GP-000423,2023-06-30,Plus,567.0,500000
GP-000424,2023-07-12,Basic,322.0,0
GP-000425,2023-08-06,Plus,649.0,500000
GP-000426,2022-09-20,Plus,,500000
GP-000427,2022-03-24,Plus,400.0,1500000
GP-000428,2022-10-21,Plus,453.0,1500000
GP-000429,2021-06-22,Basic,442.0,0
GP-000430,2021-03-17,Plus,729.0,1500000
GP-000431,2021-05-06,Plus,583.0,500000
GP-000432,2022-07-12,Basic,,0
GP-000433,2023-06-21,Plus,801.0,1500000
GP-000434,2021-10-29,Plus,791.0,500000
GP-000435,2021-11-18,Plus,577.0,1500000
GP-000436,2021-02-24,Basic,329.0,0
GP-000437,2023-08-27,Plus,472.0,1500000
GP-000438,2022-03-27,Plus,,3000000
GP-000439,2022-12-26,Basic,398.0,0
GP-000440,2022-10-11,Plus,849.0,5000000
GP-000441,2021-06-24,Plus,750.0,3000000
GP-000442,2023-09-07,Plus,581.0,500000
GP-000443,2021-11-26,Basic,338.0,0
GP-000444,2021-12-14,Basic,414.0,0
GP-000445,2023-05-14,Plus,,1500000
GP-000446,2021-10-06,Plus,,1500000
GP-000447,2022-07-25,Basic,454.0,0
GP-000448,2021-10-07,Basic,399.0,0
GP-000449,2021-06-10,Basic,458.0,0
GP-000450,2023-02-03,Basic,316.0,0
GP-000451,2022-09-23,Basic,334.0,0
GP-000452,2023-05-06,Plus,455.0,1500000
GP-000453,2021-09-01,Plus,800.0,5000000
GP-000454,2022-12-27,Plus,744.0,5000000
GP-000455,2022-06-01,Plus,830.0,500000
GP-000456,2022-07-08,Plus,448.0,500000
GP-000457,2021-02-05,Plus,,500000
GP-000458,2021-10-22,Basic,411.0,0
GP-000459,2023-06-01,Plus,604.0,500000
GP-000460,2021-12-30,Plus,753.0,500000
GP-000461,2021-07-28,Plus,566.0,1500000
GP-000462,2021-08-08,Plus,,1500000
GP-000463,2023-02-09,Plus,654.0,5000000
GP-000464,2021-08-23,Basic,479.0,0
GP-000465,2023-07-02,Plus,740.0,3000000
GP-000466,2021-03-19,Plus,538.0,3000000
GP-000467,2022-11-20,Basic,324.0,0
GP-000468,2023-07-09,Basic,331.0,0
GP-000469,2021-01-18,Plus,455.0,5000000
GP-000470,2023-06-16,Plus,610.0,1500000
GP-000471,2021-07-31,Plus,752.0,500000
GP-000472,2023-05-13,Plus,638.0,1500000
GP-000473,2023-03-06,Basic,412.0,0
GP-000474,2021-04-09,Plus,629.0,1500000
GP-000475,2022-05-25,Basic,,0
GP-000476,2021-12-13,Plus,794.0,500000
GP-000477,2021-05-09,Plus,,1500000
GP-000478,2021-05-03,Plus,675.0,5000000
GP-000479,2022-09-01,Plus,475.0,1500000
GP-000480,2021-11-11,Plus,468.0,500000
GP-000481,2022-04-23,Basic,,0
GP-000482,2021-01-18,Basic,306.0,0
GP-000483,2023-09-21,Plus,846.0,1500000
GP-000484,2022-06-10,Basic,390.0,0
GP-000485,2021-06-12,Plus,707.0,500000
GP-000486,2023-08-18,Basic,,0
GP-000487,2021-05-04,Basic,317.0,0
GP-000488,2022-09-25,Plus,,500000
GP-000489,2022-05-09,Plus,458.0,500000
GP-000490,2021-10-22,Plus,596.0,3000000
GP-000491,2021-05-29,Basic,365.0,0
GP-000492,2023-04-04,Basic,,0
GP-000493,2023-08-28,Plus,695.0,1500000
GP-000494,2021-06-18,Plus,,500000
GP-000495,2022-03-12,Basic,428.0,0
GP-000496,2021-10-09,Basic,315.0,0
GP-000497,2022-01-02,Basic,488.0,0
GP-000498,2022-09-05,Plus,403.0,500000
GP-000499,2023-05-05,Plus,686.0,1500000
GP-000500,2022-03-21,Basic,347.0,0
GP-000501,2023-01-29,Plus,800.0,1500000
GP-000502,2022-11-15,Basic,368.0,0
GP-000503,2022-02-27,Plus,445.0,3000000
GP-000504,2022-01-23,Plus,657.0,5000000
GP-000505,2023-03-09,Basic,484.0,0
GP-000506,2022-02-06,Plus,808.0,500000
GP-000507,2021-11-29,Plus,423.0,1500000
GP-000508,2021-10-25,Basic,,0
GP-000509,2021-07-31,Plus,431.0,500000
GP-000510,2022-04-13,Plus,,500000
GP-000511,2021-06-02,Plus,717.0,500000
GP-000512,2023-08-15,Basic,310.0,0
GP-000513,2022-04-23,Plus,758.0,1500000
GP-000514,2022-07-20,Plus,446.0,500000
GP-000515,2023-05-31,Plus,565.0,3000000
GP-000516,2022-09-25,Basic,445.0,0
GP-000517,2022-01-13,Basic,371.0,0
GP-000518,2022-10-21,Basic,404.0,0
GP-000519,2021-10-19,Basic,325.0,0
GP-000520,2022-06-06,Plus,427.0,500000
GP-000521,2021-05-21,Plus,699.0,500000
GP-000522,2021-02-13,Plus,441.0,3000000
GP-000523,2023-08-22,Basic,,0
GP-000524,2023-03-06,Plus,,500000
GP-000525,2022-11-26,Basic,497.0,0
GP-000526,2021-12-10,Plus,,500000
GP-000527,2022-03-01,Basic,,0
GP-000528,2023-06-17,Plus,729.0,1500000
GP-000529,2021-10-17,Basic,432.0,0
GP-000530,2022-10-27,Plus,558.0,3000000
GP-000531,2022-02-15,Basic,,0
GP-000532,2022-01-29,Plus,,500000
GP-000533,2023-06-07,Basic,421.0,0
GP-000534,2021-04-30,Basic,441.0,0
GP-000535,2022-10-14,Basic,310.0,0
GP-000536,2021-12-24,Plus,800.0,1500000
GP-000537,2021-02-16,Plus,,500000
GP-000538,2021-03-23,Plus,462.0,500000
GP-000539,2023-05-18,Plus,490.0,500000
GP-000540,2023-08-01,Basic,348.0,0
GP-000541,2023-08-01,Basic,,0
GP-000542,2023-02-06,Basic,359.0,0
GP-000543,2021-08-07,Basic,306.0,0
GP-000544,2021-03-02,Plus,409.0,1500000
GP-000545,2021-08-25,Plus,402.0,1500000
GP-000546,2021-08-26,Plus,675.0,500000
GP-000547,2022-05-16,Basic,324.0,0
GP-000548,2022-02-18,Plus,591.0,500000
GP-000549,2023-01-21,Basic,364.0,0
GP-000550,2021-06-05,Basic,464.0,0
GP-000551,2022-01-01,Basic,403.0,0
GP-000552,2021-06-11,Basic,328.0,0
GP-000553,2021-09-28,Plus,535.0,3000000
GP-000554,2022-05-23,Plus,439.0,1500000
GP-000555,2022-08-27,Plus,471.0,1500000
GP-000556,2022-02-13,Plus,670.0,500000
GP-000557,2023-06-04,Plus,,500000
GP-000558,2021-06-25,Plus,498.0,1500000
GP-000559,2022-02-14,Basic,317.0,0
GP-000560,2022-01-03,Plus,674.0,3000000
GP-000561,2022-09-22,Plus,420.0,3000000
GP-000562,2023-04-10,Basic,361.0,0
GP-000563,2022-01-31,Plus,584.0,500000
GP-000564,2023-03-08,Basic,454.0,0
GP-000565,2022-06-30,Plus,472.0,3000000
GP-000566,2022-07-11,Plus,715.0,500000
GP-000567,2021-07-19,Plus,439.0,5000000
GP-000568,2021-08-21,Plus,439.0,500000
GP-000569,2021-04-11,Plus,800.0,3000000
GP-000570,2021-04-04,Plus,,3000000
GP-000571,2023-09-04,Plus,837.0,1500000
GP-000572,2021-12-16,Basic,323.0,0
GP-000573,2023-07-26,Plus,807.0,3000000
GP-000574,2022-07-31,Basic,417.0,0
GP-000575,2022-09-16,Basic,373.0,0
GP-000576,2022-09-27,Basic,453.0,0
GP-000577,2021-11-19,Basic,492.0,0
GP-000578,2023-01-07,Basic,,0
GP-000579,2022-09-27,Plus,519.0,500000
GP-000580,2023-02-21,Basic,,0
GP-000581,2022-12-22,Plus,742.0,1500000
GP-000582,2022-11-27,Basic,,0
GP-000583,2022-12-03,Plus,,3000000
GP-000584,2022-10-01,Plus,442.0,1500000
GP-000585,2022-08-01,Plus,453.0,1500000
GP-000586,2021-05-09,Plus,671.0,500000
GP-000587,2022-03-20,Plus,557.0,500000
GP-000588,2021-09-17,Plus,,5000000
GP-000589,2021-07-15,Plus,491.0,500000
GP-000590,2022-12-22,Basic,464.0,0
GP-000591,2023-03-01,Basic,466.0,0
GP-000592,2021-06-10,Plus,776.0,1500000
GP-000593,2022-11-05,Basic,342.0,0
GP-000594,2022-07-02,Plus,848.0,500000
